2020-12-08 19:02:56.991965 

No Pre-selection of Features
This run includes 3 GCNs - mRNA, DNA methylation, miRNA 


Training...
Epoch 0, Train loss: C1:2.15e-01, C2:1.38e-01, C3:6.62e-02, C:3.85e-01
Epoch 227, Train loss: C1:1.95e+02, C2:2.11e+02, C3:3.37e-03, C:1.81e-01
Epoch 228, Train loss: C1:1.37e+01, C2:3.17e+02, C3:3.37e-03, C:2.03e-01
Epoch 229, Train loss: C1:9.92e+01, C2:3.61e+02, C3:3.52e-03, C:1.45e-01
Epoch 230, Train loss: C1:2.02e+02, C2:3.06e+02, C3:3.25e-03, C:1.87e-01
Epoch 231, Train loss: C1:1.11e+02, C2:2.11e+02, C3:3.29e-03, C:1.62e-01
Epoch 232, Train loss: C1:1.67e+01, C2:2.26e+02, C3:3.29e-03, C:1.74e-01
Epoch 233, Train loss: C1:6.52e+01, C2:3.06e+02, C3:3.27e-03, C:1.74e-01
Epoch 234, Train loss: C1:1.06e+02, C2:4.11e+02, C3:3.32e-03, C:1.64e-01
Epoch 235, Train loss: C1:4.72e+01, C2:3.92e+02, C3:3.33e-03, C:1.68e-01
Epoch 236, Train loss: C1:1.54e+01, C2:3.17e+02, C3:3.41e-03, C:1.78e-01
Epoch 237, Train loss: C1:6.45e+01, C2:2.28e+02, C3:3.35e-03, C:1.62e-01
Epoch 238, Train loss: C1:7.02e+01, C2:1.93e+02, C3:3.39e-03, C:1.71e-01
Epoch 239, Train loss: C1:2.20e+01, C2:2.66e+02, C3:3.40e-03, C:2.03e-01
Epoch 240, Train loss: C1:2.61e+01, C2:3.97e+02, C3:3.28e-03, C:1.51e-01
Epoch 241, Train loss: C1:6.27e+01, C2:4.95e+02, C3:3.51e-03, C:1.87e-01
Epoch 242, Train loss: C1:4.37e+01, C2:4.46e+02, C3:3.26e-03, C:1.42e-01
Epoch 243, Train loss: C1:1.34e+01, C2:2.98e+02, C3:3.29e-03, C:1.68e-01
Epoch 244, Train loss: C1:3.54e+01, C2:1.95e+02, C3:3.22e-03, C:1.62e-01
Epoch 245, Train loss: C1:5.26e+01, C2:1.79e+02, C3:3.17e-03, C:1.67e-01
Epoch 246, Train loss: C1:2.03e+01, C2:3.89e+02, C3:3.17e-03, C:1.49e-01
Epoch 247, Train loss: C1:1.75e+01, C2:5.52e+02, C3:3.11e-03, C:1.79e-01
Epoch 248, Train loss: C1:4.33e+01, C2:5.37e+02, C3:3.28e-03, C:1.40e-01
Epoch 249, Train loss: C1:3.08e+01, C2:4.63e+02, C3:3.31e-03, C:1.78e-01
Epoch 250, Train loss: C1:1.05e+01, C2:4.44e+02, C3:3.21e-03, C:1.35e-01

Test: Epoch 250
Train Accuracy: 0.6301   Test ACC: 0.5326
Train F1: 0.5536         Test F1: 0.4154

Epoch 251, Train loss: C1:2.34e+01, C2:6.03e+02, C3:3.20e-03, C:1.98e-01
Epoch 252, Train loss: C1:2.77e+01, C2:9.14e+02, C3:3.26e-03, C:1.41e-01
Epoch 253, Train loss: C1:1.76e+01, C2:1.42e+03, C3:3.26e-03, C:1.79e-01
Epoch 254, Train loss: C1:1.09e+01, C2:2.17e+03, C3:3.18e-03, C:1.52e-01
