2020-10-28 14:39:57.011852 

This run includes 6 GCNs: mRNA, miRNA, meth, naive_mRNA-mRNA, naive_miRNA-miRNA, naive_meth-meth 


Training...
Epoch 0, Train loss: C1:1.23e-01, C2:2.21e-01, C3:7.16e-02, C4:1.07e-01, C5:6.41e-02, C6:6.52e-02, C:5.53e-01
Epoch 135, Train loss: C1:1.25e-02, C2:1.61e-02, C3:1.24e-02, C4:8.49e+01, C5:1.32e+02, C6:4.07e+01, C:1.98e-01
Epoch 136, Train loss: C1:1.29e-02, C2:1.62e-02, C3:1.24e-02, C4:3.28e+01, C5:8.24e+02, C6:6.13e+01, C:2.77e-01
Epoch 137, Train loss: C1:1.24e-02, C2:1.62e-02, C3:1.26e-02, C4:3.96e+01, C5:1.53e+02, C6:3.52e+01, C:2.29e-01
Epoch 138, Train loss: C1:1.28e-02, C2:1.59e-02, C3:1.28e-02, C4:1.08e+02, C5:4.33e+02, C6:4.60e+00, C:2.36e-01
Epoch 139, Train loss: C1:1.27e-02, C2:1.57e-02, C3:1.26e-02, C4:1.99e+02, C5:4.69e+02, C6:2.04e+01, C:2.19e-01
Epoch 140, Train loss: C1:1.27e-02, C2:1.60e-02, C3:1.24e-02, C4:2.61e+02, C5:8.70e+01, C6:5.26e+01, C:4.53e-01
Epoch 141, Train loss: C1:1.28e-02, C2:1.61e-02, C3:1.26e-02, C4:2.10e+02, C5:4.80e+02, C6:4.53e+01, C:2.48e-01
Epoch 142, Train loss: C1:1.24e-02, C2:1.59e-02, C3:1.22e-02, C4:1.03e+02, C5:1.46e+02, C6:1.22e+01, C:2.93e-01
Epoch 143, Train loss: C1:1.26e-02, C2:1.58e-02, C3:1.25e-02, C4:3.30e+01, C5:2.40e+02, C6:7.94e+00, C:2.97e-01
Epoch 144, Train loss: C1:1.25e-02, C2:1.59e-02, C3:1.26e-02, C4:6.02e+01, C5:3.32e+02, C6:3.07e+01, C:2.61e-01
Epoch 145, Train loss: C1:1.21e-02, C2:1.62e-02, C3:1.25e-02, C4:1.63e+02, C5:5.45e+01, C6:3.10e+01, C:5.78e-01
Epoch 146, Train loss: C1:1.21e-02, C2:1.60e-02, C3:1.22e-02, C4:2.65e+02, C5:2.78e+02, C6:8.83e+00, C:3.80e-01
Epoch 147, Train loss: C1:1.25e-02, C2:1.57e-02, C3:1.22e-02, C4:2.85e+02, C5:1.46e+02, C6:8.23e+00, C:3.53e-01
Epoch 148, Train loss: C1:1.23e-02, C2:1.60e-02, C3:1.23e-02, C4:2.02e+02, C5:1.09e+02, C6:2.44e+01, C:2.66e-01
Epoch 149, Train loss: C1:1.23e-02, C2:1.57e-02, C3:1.23e-02, C4:9.39e+01, C5:2.17e+02, C6:1.81e+01, C:3.20e-01
Epoch 150, Train loss: C1:1.22e-02, C2:1.58e-02, C3:1.22e-02, C4:3.13e+01, C5:6.51e+01, C6:3.79e+00, C:4.03e-01

Test: Epoch 150
Train Accuracy: 0.6699   Test ACC: 0.6616
Train F1: 0.5688         Test F1: 0.5424

Epoch 151, Train loss: C1:1.23e-02, C2:1.60e-02, C3:1.20e-02, C4:2.90e+01, C5:1.52e+02, C6:1.31e+01, C:3.56e-01
Epoch 152, Train loss: C1:1.22e-02, C2:1.59e-02, C3:1.22e-02, C4:6.38e+01, C5:1.40e+02, C6:2.27e+01, C:2.98e-01
Epoch 153, Train loss: C1:1.21e-02, C2:1.60e-02, C3:1.20e-02, C4:8.50e+01, C5:4.80e+01, C6:8.86e+00, C:2.43e-01
Epoch 154, Train loss: C1:1.22e-02, C2:1.61e-02, C3:1.23e-02, C4:7.88e+01, C5:1.72e+02, C6:5.89e+00, C:3.20e-01
Epoch 155, Train loss: C1:1.23e-02, C2:1.58e-02, C3:1.24e-02, C4:4.82e+01, C5:6.23e+01, C6:1.83e+01, C:3.58e-01
Epoch 156, Train loss: C1:1.20e-02, C2:1.57e-02, C3:1.20e-02, C4:3.14e+01, C5:8.64e+01, C6:1.52e+01, C:3.72e-01
Epoch 157, Train loss: C1:1.23e-02, C2:1.58e-02, C3:1.20e-02, C4:2.28e+01, C5:1.17e+02, C6:4.21e+00, C:4.32e-01
